StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,47.25,None
2,1,1,47.25,inf,inf
3,2,0,-inf,inf,None
4,3,0,-inf,inf,None
5,4,0,-inf,24.0,None
6,4,1,24.0,inf,0.0
7,5,0,-inf,inf,None
8,6,0,-inf,21.5,None
9,6,1,21.5,inf,0.0
10,39,0,-inf,6.0,None
11,39,1,6.0,inf,inf
12,40,0,-inf,73.0,None
13,40,1,73.0,inf,inf
14,41,0,-inf,147.5,None
15,41,1,147.5,inf,inf
16,42,0,-inf,85.0,None
17,42,1,85.0,inf,inf
18,43,0,-inf,3.8,None
19,43,1,3.8,inf,inf
20,44,0,-inf,0.885,None
21,44,1,0.885,inf,inf
22,55,0,-inf,0.5,None
23,55,1,0.5,inf,inf
