StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,41.22,None
2,1,1,41.22,inf,inf
3,2,0,-inf,20.1,None
4,2,1,20.1,inf,0.0
5,3,0,-inf,30.0,None
6,3,1,30.0,inf,0.0
7,4,0,-inf,20.1,None
8,4,1,20.1,inf,0.0
9,5,0,-inf,20.1,None
10,5,1,20.1,inf,0.0
11,6,0,-inf,15.75,None
12,6,1,15.75,inf,0.0
13,39,0,-inf,5.764,None
14,39,1,5.764,inf,inf
15,40,0,-inf,72.81,None
16,40,1,72.81,inf,inf
17,41,0,-inf,145.95,None
18,41,1,145.95,inf,inf
19,42,0,-inf,77.35,None
20,42,1,77.35,inf,inf
21,43,0,-inf,3.712,None
22,43,1,3.712,inf,inf
23,44,0,-inf,0.8793,None
24,44,1,0.8793,inf,inf
25,55,0,-inf,0.01,None
26,55,1,0.01,inf,inf
